Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1702031574976,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,50.82723617553711,45.82591247558594,50.22602844238281,48.83545684814453,48.18427276611328,47.684444427490234,45.05006790161133,46.38956069946289,49.163230895996094,47.54064178466797,NaN,0,0,0,0,0,0,0,0,0,9.339001655578613,17179869184,2147483648,11162714112,1129512960
204,1702031574976,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,50.82723617553711,45.82591247558594,50.22602844238281,48.83545684814453,48.18427276611328,47.684444427490234,45.05006790161133,46.38956069946289,49.163230895996094,47.54064178466797,50,0,100,0,NaN,0,0,0,0,0,9.339001655578613,17179869184,2147483648,11162714112,1129512960
204,1702031575181,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,50.82723617553711,45.82591247558594,50.22602844238281,48.83545684814453,48.18427276611328,47.684444427490234,45.05006790161133,46.38956069946289,49.163230895996094,47.54064178466797,85.71428680419922,90,90.90909576416016,80.95238494873047,75,75,80.95238494873047,72.7272720336914,71.42857360839844,75,9.339001655578613,17179869184,2147483648,11162714112,1129512960
204,1702031575386,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,50.82723617553711,45.82591247558594,50.22602844238281,48.83545684814453,48.18427276611328,47.684444427490234,45.05006790161133,46.38956069946289,49.163230895996094,47.54064178466797,65,68.18181610107422,55,80,100,78.94737243652344,52.38095474243164,55,55,54.54545593261719,14.742621421813965,17179869184,2147483648,11162714112,1129512960
